股票代码|股票简称|英文名|行业编码|一级分类|二级分类|上市交易所|公司全称|上市日期|省份|城市|法人|地址|网址|邮箱|电话|主营业务|经营范围
cn_603000|智慧医疗|Smart Health|Q84|卫生和社会工作|卫生|上海证券交易所|智慧医疗科技股份有限公司|2016-08-18|上海市|上海市|刘洋|上海市浦东新区张江高科技园区碧波路518号|www.smarthealth.com|service@smarthealth.com|021-68889999|医疗信息化及健康管理平台|医疗软件研发；健康管理咨询；医疗器械经营；互联网信息服务。
cn_601000|北方矿业|North Mining|B09|采矿业|有色金属矿采选业|上海证券交易所|北方矿业资源股份有限公司|2007-03-28|内蒙古自治区|包头市|赵强|包头市昆都仑区团结大街45号|www.northmining.com|service@northmining.com|0472-5128888|稀土及有色金属开采冶炼|稀土矿、铁矿开采；有色金属冶炼；矿产品贸易。
cn_002002|东方证券|Orient Sec|J67|金融业|资本市场服务|深圳证券交易所|东方证券股份有限公司|2005-04-10|上海市|上海市|金晓|上海市黄浦区中山南路318号|www.orientsec.com|service@orientsec.com|021-63325888|证券经纪与投资银行|证券经纪；证券投资咨询；证券承销与保荐；资产管理。
cn_300002|天齐材料|Tianqi Mat|C30|制造业|非金属矿物制品业|深圳证券交易所|天齐新材料股份有限公司|2012-09-05|四川省|成都市|周华|成都市高新区天府大道中段688号|www.tianqimat.com|service@tianqimat.com|028-85229999|锂电池隔膜及特种陶瓷材料|特种陶瓷材料研发生产；锂电池隔膜制造；新材料技术推广。
cn_600003|长虹科技|Changhong Tech|C39|制造业|计算机、通信和其他电子设备制造业|上海证券交易所|长虹科技股份有限公司|1998-06-30|四川省|绵阳市|李伟|绵阳市高新区绵兴东路35号|www.changhongtech.com|service@changhongtech.com|0816-2418888|智能家电及电子元器件|家用电器制造；电子产品销售；软件开发；信息系统集成。
cn_000003|华夏银行|Huaxia Bank|J66|金融业|货币金融服务|深圳证券交易所|华夏银行股份有限公司|1991-08-22|北京市|北京市|李晓鹏|北京市东城区建国门内大街22号|www.hxbank.com|service@hxbank.com|010-85238888|商业银行综合金融服务|吸收公众存款；发放贷款；办理国内外结算；发行金融债券。
cn_601001|华能电力|Huaneng Power|D44|电力、热力、燃气及水生产和供应业|电力生产|上海证券交易所|华能电力股份有限公司|2001-12-06|北京市|北京市|赵克宇|北京市西城区复兴门内大街4号|www.huanengpower.com|service@huanengpower.com|010-66498888|火力及水力发电|电力生产、销售；热力生产供应；电力项目投资。
cn_002003|比亚迪汽车|BYD Auto|C36|制造业|汽车制造业|深圳证券交易所|比亚迪汽车股份有限公司|2003-07-21|广东省|深圳市|王传福|深圳市坪山区比亚迪路3009号|www.bydauto.com|service@bydauto.com|0755-89888888|新能源汽车及传统汽车制造|汽车制造销售；汽车零部件研发；电池制造；充电设备销售。
cn_300003|药明生物|WuXi Bio|C27|制造业|医药制造业|深圳证券交易所|药明生物技术股份有限公司|2014-12-12|江苏省|无锡市|李革|无锡市滨湖区马山梅梁路88号|www.wuxibio.com|service@wuxibio.com|0510-85557888|生物药CDMO服务|生物医药研发、生产；技术转让；检测服务。
cn_603001|紫光芯片|Ziguang Chip|C39|制造业|计算机、通信和其他电子设备制造业|上海证券交易所|紫光芯片股份有限公司|2018-06-20|北京市|北京市|赵伟国|北京市海淀区清华科技园紫光大厦5层|www.zgchip.com|service@zgchip.com|010-62708888|集成电路设计及封装测试|集成电路设计、制造、封装测试；电子产品销售。
cn_000004|保利地产|Poly Real|K70|房地产业|房地产开发|深圳证券交易所|保利房地产集团股份有限公司|1993-05-11|广东省|广州市|刘平|广州市海珠区阅江中路688号|www.polyreal.com|service@polyreal.com|020-88886666|住宅及商业地产开发|房地产开发经营；自有房屋租赁；物业管理；建筑装修。
cn_601002|中国国航|Air China|G56|交通运输、仓储和邮政业|航空运输业|上海证券交易所|中国国际航空股份有限公司|2002-08-30|北京市|北京市|王昌顺|北京市顺义区天竺空港工业区A区天柱路28号|www.airchina.com|service@airchina.com|010-64598888|航空客运及货运|国内国际航空客货运输；航空器维修；航空食品生产。
cn_002004|复星医药|Fosun Pharma|C27|制造业|医药制造业|深圳证券交易所|复星医药集团股份有限公司|2004-09-23|上海市|上海市|吴以芳|上海市宜山路1289号复星科技园A座|www.fosunpharma.com|service@fosunpharma.com|021-23158888|药品及医疗器械研发销售|药品生产、销售；医疗器械制造；医疗健康产业投资。
cn_300004|大族激光|Han's Laser|C35|制造业|专用设备制造业|深圳证券交易所|大族激光科技产业集团股份有限公司|2010-03-15|广东省|深圳市|高云峰|深圳市宝安区福永街道重庆路128号|www.hanslaser.com|service@hanslaser.com|0755-26699999|激光加工设备制造|激光设备、自动化设备研发生产销售；激光技术咨询。
cn_600004|上港集团|SIPG|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|上海国际港务（集团）股份有限公司|2000-07-19|上海市|上海市|顾金山|上海市虹口区东大名路358号|www.portshanghai.com|service@portshanghai.com|021-55338888|港口码头及集装箱运营|港口投资建设；集装箱装卸；仓储物流；航运服务。
cn_000005|国信证券|Guosen Sec|J67|金融业|资本市场服务|深圳证券交易所|国信证券股份有限公司|1994-06-22|广东省|深圳市|张纳沙|深圳市罗湖区红岭中路1012号国信证券大厦|www.guosen.com|service@guosen.com|0755-82130833|证券经纪与财富管理|证券经纪；证券投资咨询；证券资产管理；融资融券。
cn_601003|中国中铁|CREC|E48|建筑业|土木工程建筑业|上海证券交易所|中国中铁股份有限公司|2007-12-03|北京市|北京市|陈云|北京市海淀区复兴路69号中国中铁大厦|www.crec.cn|service@crec.com|010-51878888|基建建设及勘察设计|铁路、公路、市政工程施工；勘察设计；工程设备制造。
cn_002005|海康威视|Hikvision|C39|制造业|计算机、通信和其他电子设备制造业|深圳证券交易所|海康威视数字技术股份有限公司|2005-04-18|浙江省|杭州市|陈宗年|杭州市滨江区阡陌路555号|www.hikvision.com|service@hikvision.com|0571-88075998|安防视频监控产品研发制造|安防设备、电子产品研发制造；软件开发；系统集成服务。
cn_300005|天能锂电|Tianneng Li|C38|制造业|电气机械和器材制造业|深圳证券交易所|天能锂电科技股份有限公司|2014-07-03|浙江省|湖州市|张天任|湖州市长兴县画溪街道包桥路18号|www.tiannengli.com|service@tiannengli.com|0572-6038888|锂离子电池及材料生产|锂离子电池、电池材料研发生产销售；储能系统集成。
cn_603002|中芯国际|SMIC|C39|制造业|计算机、通信和其他电子设备制造业|上海证券交易所|中芯国际集成电路制造有限公司|2019-05-08|上海市|上海市|高永岗|上海市浦东新区张江路18号|www.smic.com|service@smic.com|021-50802888|集成电路晶圆代工|集成电路制造、测试、封装；技术研发；光掩模制造。
cn_000006|中兴通讯|ZTE|C39|制造业|计算机、通信和其他电子设备制造业|深圳证券交易所|中兴通讯股份有限公司|1997-11-18|广东省|深圳市|李自学|深圳市南山区科技南路55号中兴通讯大厦|www.zte.com|service@zte.com|0755-26770000|通信设备与解决方案|通信系统设备制造；软件开发；网络技术服务；终端产品销售。
cn_601005|中国建筑|CSCEC|E47|建筑业|房屋建筑业|上海证券交易所|中国建筑股份有限公司|2009-07-29|北京市|北京市|郑学选|北京市朝阳区安定路5号院3号楼中建财富国际中心|www.cscec.com|service@cscec.com|010-86498888|房屋建筑及基础设施建设|建筑工程施工；房地产开发；勘察设计；物业管理。
cn_002006|华东医药|Huadong Pharma|C27|制造业|医药制造业|深圳证券交易所|华东医药股份有限公司|2000-10-18|浙江省|杭州市|吕梁|杭州市拱墅区莫干山路866号|www.eastpharma.com|service@eastpharma.com|0571-88806666|药品及医疗器械批发零售|药品、医疗器械生产销售；医药技术研发；仓储物流。
cn_300006|科大讯飞|iFLYTEK|I65|信息技术|软件和信息技术服务业|深圳证券交易所|科大讯飞股份有限公司|2010-05-19|安徽省|合肥市|刘庆峰|合肥市高新区望江西路666号|www.iflytek.com|service@iflytek.com|0551-65309000|智能语音及人工智能技术|语音及语言信息处理软件研发；教育产品开发；智能硬件制造。
cn_600005|宝钢股份|Baosteel|C31|制造业|黑色金属冶炼和压延加工业|上海证券交易所|宝山钢铁股份有限公司|2000-11-20|上海市|上海市|邹继新|上海市宝山区富锦路885号宝钢指挥中心|www.baosteel.com|service@baosteel.com|021-26647777|钢铁产品制造销售|钢铁冶炼、加工；钢材销售；技术咨询；货物进出口。
cn_000007|宁波银行|Bank of Ningbo|J66|金融业|货币金融服务|深圳证券交易所|宁波银行股份有限公司|1997-04-10|浙江省|宁波市|陆华裕|宁波市鄞州区宁东路345号|www.nbcb.com|service@nbcb.com|0574-87058588|商业银行金融服务|吸收存款；发放贷款；办理结算；信用卡业务。
cn_601006|中国神华|Shenhua|B06|采矿业|煤炭开采和洗选业|上海证券交易所|中国神华能源股份有限公司|2007-10-09|北京市|北京市|王祥喜|北京市东城区安定门西滨河路22号神华大厦|www.shenhua.com|service@shenhua.com|010-58131888|煤炭开采及发电|煤炭开采、洗选、销售；火力发电；铁路运输。
cn_002007|美的集团|Midea|C38|制造业|电气机械和器材制造业|深圳证券交易所|美的集团股份有限公司|2004-08-26|广东省|佛山市|方洪波|佛山市顺德区北滘镇美的大道6号|www.midea.com|service@midea.com|0757-26338888|家电制造及智能家居|家用电器制造销售；机器人制造；智能家居系统；物流服务。
cn_300007|迈瑞医疗|Mindray|C35|制造业|专用设备制造业|深圳证券交易所|迈瑞医疗国际股份有限公司|2013-09-20|广东省|深圳市|李西廷|深圳市南山区高新技术产业园区科技南十二路迈瑞大厦|www.mindray.com|service@mindray.com|0755-26582888|医疗器械研发制造|医疗器械生产、销售；医疗软件开发；技术进出口。
cn_603003|寒武纪|Cambricon|I65|信息技术|软件和信息技术服务业|上海证券交易所|寒武纪科技股份有限公司|2020-07-20|北京市|北京市|陈天石|北京市海淀区科学院南路6号中科院计算所|www.cambricon.com|service@cambricon.com|010-62576688|人工智能芯片研发|集成电路设计；人工智能算法开发；芯片销售；技术服务。
cn_000008|海通证券|Haitong Sec|J67|金融业|资本市场服务|深圳证券交易所|海通证券股份有限公司|1998-02-24|上海市|上海市|周杰|上海市黄浦区广东路689号海通证券大厦|www.htsec.com|service@htsec.com|021-23219000|证券及期货经纪业务|证券经纪；证券自营；证券承销；资产管理；期货经纪。
cn_601007|京沪高铁|Beijing-Shanghai HSR|G53|交通运输、仓储和邮政业|铁路运输业|上海证券交易所|京沪高速铁路股份有限公司|2020-01-16|北京市|北京市|刘洪润|北京市海淀区北蜂窝路5号院1号楼|www.jinghugaotie.com|service@jinghugaotie.com|010-51862888|高铁客运服务|高铁旅客运输；铁路设备维护；广告传媒；餐饮服务。
cn_002008|顺丰控股|SF Express|G58|交通运输、仓储和邮政业|邮政业|深圳证券交易所|顺丰控股股份有限公司|2005-12-22|广东省|深圳市|王卫|深圳市南山区学府路软件产业基地1栋B座|www.sf-express.com|service@sf-express.com|0755-33338888|快递物流综合服务|国内国际快递；仓储服务；供应链管理；冷链物流。
cn_300008|智飞生物|Zhifei Bio|C27|制造业|医药制造业|深圳证券交易所|智飞生物制品股份有限公司|2011-04-25|重庆市|重庆市|蒋仁生|重庆市江北区金源路7号|www.zhifeishengwu.com|service@zhifei.com|023-67779999|疫苗及生物制品研发生产|生物制品、疫苗研发生产销售；进出口贸易；技术咨询。
cn_600006|东风汽车|Dongfeng Auto|C36|制造业|汽车制造业|上海证券交易所|东风汽车股份有限公司|1999-07-27|湖北省|武汉市|竺延风|武汉市经济技术开发区东风大道特1号|www.dongfeng.com|service@dongfeng.com|027-84285555|商用车及乘用车制造|汽车及零部件制造销售；汽车研发；技术进出口。
cn_000009|中国石化|Sinopec|C25|制造业|石油、煤炭及其他燃料加工业|深圳证券交易所|中国石油化工股份有限公司|1998-05-15|北京市|北京市|马永生|北京市朝阳区朝阳门北大街22号|www.sinopec.com|service@sinopec.com|010-59968888|石油炼制及化工产品|石油炼制；石化产品生产销售；成品油零售；勘探开发。
cn_601008|招商银行|CMB|J66|金融业|货币金融服务|上海证券交易所|招商银行股份有限公司|2002-04-09|广东省|深圳市|缪建民|深圳市福田区深南大道7088号招商银行大厦|www.cmbchina.com|service@cmbchina.com|0755-83198888|商业银行及零售金融|吸收存款；发放贷款；信用卡业务；财富管理。
cn_002009|伊利股份|Yili|C14|制造业|食品制造业|深圳证券交易所|内蒙古伊利实业集团股份有限公司|2003-12-18|内蒙古自治区|呼和浩特市|潘刚|呼和浩特市土默特左旗金山开发区金山大街1号|www.yili.com|service@yili.com|0471-3358666|乳制品生产销售|乳制品、饮料生产销售；奶牛养殖；食品研发。
cn_300009|蓝思科技|Lens Tech|C39|制造业|计算机、通信和其他电子设备制造业|深圳证券交易所|蓝思科技股份有限公司|2015-03-18|湖南省|长沙市|周群飞|长沙市浏阳经济技术开发区蓝思科技园|www.lens.com|service@lens.com|0731-83288888|视窗防护玻璃及触控模组|玻璃制品制造；电子产品研发销售；新材料开发。
cn_603004|传音控股|Transsion|C39|制造业|计算机、通信和其他电子设备制造业|上海证券交易所|传音控股股份有限公司|2019-09-30|广东省|深圳市|竺兆江|深圳市南山区高新科技园南区传音大厦|www.transsion.com|service@transsion.com|0755-36699999|手机及智能终端研发制造|移动通信终端制造销售；软件开发；移动互联网服务。
cn_000010|广发证券|GF Securities|J67|金融业|资本市场服务|深圳证券交易所|广发证券股份有限公司|1993-08-23|广东省|广州市|林传辉|广州市天河区天河北路183号大都会广场|www.gf.com|service@gf.com|020-87555888|证券经纪及投资银行|证券经纪；投资银行；资产管理；自营投资。
cn_601009|中国太保|CPIC|J68|金融业|保险业|上海证券交易所|中国太平洋保险（集团）股份有限公司|2007-12-25|上海市|上海市|孔庆伟|上海市黄浦区中山南路1号|www.cpic.com|service@cpic.com|021-58776688|财产险及人寿保险|财产保险；人寿保险；养老保险；资产管理。
cn_002010|东方明珠|OMG|R86|文化、体育和娱乐业|广播、电视、电影和影视录音制作业|深圳证券交易所|东方明珠新媒体股份有限公司|2004-06-10|上海市|上海市|王建军|上海市徐汇区宜山路757号|www.omg.com|service@omg.com|021-62378888|新媒体及文化娱乐|广播电视节目制作；新媒体平台运营；广告发布；影视投资。
cn_300010|康泰生物|Kangtai Bio|C27|制造业|医药制造业|深圳证券交易所|康泰生物制品股份有限公司|2012-11-20|广东省|深圳市|杜伟民|深圳市南山区科技园科发路6号|www.kangtai.com|service@kangtai.com|0755-86660888|疫苗研发生产|人用疫苗研发、生产、销售；生物技术开发。
cn_600007|上海机场|Shanghai Airport|G56|交通运输、仓储和邮政业|航空运输业|上海证券交易所|上海国际机场股份有限公司|1998-02-18|上海市|上海市|胡稚鸿|上海市浦东新区启航路900号|www.shairport.com|service@shairport.com|021-68346999|机场运营与管理|机场建设运营；航空地面服务；商业零售；广告经营。
cn_600008|远达科技|Yuanda Tech|I65|信息技术|软件服务|上海证券交易所|远达科技股份有限公司|2003-06-18|北京市|北京市|王远达|北京市海淀区中关村软件园8号|www.yuandatech.com|service@yuandatech.com|010-88880008|企业级软件及云计算服务|软件开发、云计算服务、信息系统集成、技术咨询
cn_600009|宏图高科|Hongtu Hi-Tech|C39|制造业|计算机、通信和其他电子设备制造业|上海证券交易所|宏图高科集团股份有限公司|2004-09-22|上海市|上海市|陈宏图|上海市浦东新区金桥路28号|www.hongtuhitech.com|service@hongtu.com|021-68880009|通信设备及电子元器件制造|通信设备、电子元器件制造销售；技术开发；货物进出口
cn_600010|金源股份|Jinyuan Holdings|B09|采矿业|有色金属矿采选业|上海证券交易所|金源矿业股份有限公司|2001-12-01|内蒙古自治区|包头市|李金源|包头市稀土高新区金源路1号|www.jinyuan.com|service@jinyuan.com|0472-5110010|稀土及贵金属开采冶炼|稀土、金、银等有色金属开采、冶炼、销售
cn_600011|银海能源|Yinhai Energy|D44|电力、热力、燃气及水生产和供应业|电力生产|上海证券交易所|银海能源集团股份有限公司|2005-07-15|山东省|青岛市|赵银海|青岛市黄岛区滨海大道199号|www.yinhaienergy.com|service@yinhai.com|0532-86880011|风力发电及光伏电站运营|风力发电、光伏发电项目投资、开发、运营；电力销售
cn_600012|蓝海生物|Blue Ocean Bio|C27|制造业|医药制造业|上海证券交易所|蓝海生物技术股份有限公司|2008-11-20|广东省|广州市|刘蓝海|广州市黄埔区科学城蓝海路88号|www.blueoceanbio.com|service@blueocean.com|020-88880012|基因工程药物及诊断试剂研发|生物药品研发、生产；诊断试剂销售；技术转让
cn_600013|绿能电力|Green Power|D44|电力、热力、燃气及水生产和供应业|电力生产|上海证券交易所|绿能电力发展股份有限公司|2010-03-28|浙江省|杭州市|周绿能|杭州市余杭区未来科技城绿能大厦|www.greenpower.com|service@greenpower.com|0571-86680013|水力发电及抽水蓄能|水力发电、抽水蓄能电站建设运营；电力技术服务
cn_600014|华建地产|Huajian Realty|K70|房地产业|房地产开发|上海证券交易所|华建房地产集团股份有限公司|1999-09-10|江苏省|南京市|张华建|南京市建邺区河西新城华建路1号|www.huajianrealty.com|service@huajian.com|025-87780014|住宅及商业地产开发|房地产开发经营；物业管理；自有房屋租赁；建筑装饰
cn_600015|盛达矿业|Shengda Mining|B06|采矿业|煤炭开采和洗选业|上海证券交易所|盛达矿业资源股份有限公司|2002-04-18|山西省|太原市|王盛达|太原市万柏林区西矿街15号|www.shengdamining.com|service@shengda.com|0351-6080015|煤炭开采及洗选加工|煤炭开采、洗选、销售；煤化工产品生产
cn_600016|天宇通信|Tianyu Comm|I63|信息技术|电信、广播电视和卫星传输服务|上海证券交易所|天宇通信技术股份有限公司|2006-12-05|四川省|成都市|刘天宇|成都市高新区天府软件园天宇楼|www.tianyutelecom.com|service@tianyu.com|028-85320016|卫星通信及物联网服务|卫星通信系统集成；物联网技术研发；数据传输服务
cn_600017|瑞丰医药|Ruifeng Pharma|C27|制造业|医药制造业|上海证券交易所|瑞丰医药集团股份有限公司|2003-08-14|湖北省|武汉市|陈瑞丰|武汉市东湖高新区生物城瑞丰路66号|www.ruifengpharma.com|service@ruifeng.com|027-87780017|化学药品及原料药生产|化学药品原料药、制剂生产销售；医药研发；进出口
cn_600018|鼎盛机械|Dingsheng Mach|C35|制造业|专用设备制造业|上海证券交易所|鼎盛重型机械股份有限公司|2000-01-20|辽宁省|沈阳市|李鼎盛|沈阳市铁西区重工街88号|www.dingshengmach.com|service@dingsheng.com|024-25880018|矿山机械及工程机械制造|矿山机械、工程机械制造销售；设备安装及维修
cn_600019|恒通物流|Hengtong Logistics|G58|交通运输、仓储和邮政业|邮政业|上海证券交易所|恒通物流集团股份有限公司|2007-05-30|河南省|郑州市|马恒通|郑州市郑东新区物流大道8号|www.hengtonglog.com|service@hengtong.com|0371-66880019|综合物流及供应链管理|国内国际货物运输；仓储服务；供应链管理；报关报检
cn_600020|博远信息|Boyuan Info|I65|信息技术|软件和信息技术服务业|上海证券交易所|博远信息技术股份有限公司|2011-09-17|陕西省|西安市|赵博远|西安市高新区锦业路博远大厦12层|www.boyuaninfo.com|service@boyuan.com|029-88380020|大数据及人工智能解决方案|大数据分析、人工智能算法开发；软件外包；IT咨询
cn_600021|嘉华金融|Jiahua Finance|J69|金融业|其他金融业|上海证券交易所|嘉华金融控股股份有限公司|2004-02-26|上海市|上海市|孙嘉华|上海市陆家嘴环路588号嘉华金融中心|www.jiahua-finance.com|service@jiahua.com|021-58880021|融资租赁及资产管理|融资租赁业务；资产管理；投资咨询；财务顾问
cn_600022|信达证券|Xinda Securities|J67|金融业|资本市场服务|上海证券交易所|信达证券股份有限公司|2005-10-12|北京市|北京市|周信达|北京市西城区金融大街信达大厦|www.xindasec.com|service@xindasec.com|010-66080022|证券经纪与投资银行|证券经纪；证券投资咨询；证券承销与保荐；资产管理
cn_600023|中融信托|Zhongrong Trust|J69|金融业|其他金融业|上海证券交易所|中融国际信托股份有限公司|2006-03-19|广东省|深圳市|吴中融|深圳市福田区益田路中融大厦|www.zhongrongtrust.com|service@zhongrong.com|0755-82880023|信托业务及资产管理|资金信托；动产信托；不动产信托；资产证券化
cn_600024|华泰保险|Huatai Insurance|J68|金融业|保险业|上海证券交易所|华泰保险集团股份有限公司|2002-08-08|上海市|上海市|郑华泰|上海市浦东新区华泰路1号|www.huataiinsurance.com|service@huatai.com|021-68880024|财产保险及意外伤害保险|财产损失保险；责任保险；信用保险；意外伤害保险
cn_600025|中金投资|Zhongjin Investment|J69|金融业|资本市场服务|上海证券交易所|中金投资控股股份有限公司|2008-04-21|北京市|北京市|周中金|北京市朝阳区建国门外大街中金广场|www.zhongjininvest.com|service@zhongjin.com|010-65680025|股权投资及产业基金|股权投资；产业投资基金；企业并购重组顾问
cn_600026|光大控股|Everbright Holdings|J69|金融业|其他金融业|上海证券交易所|光大控股集团股份有限公司|2001-11-16|香港特别行政区|香港|陈光大|香港中环皇后大道中99号光大中心|www.everbrightholdings.com|service@everbright.com|00852-28680026|跨境金融及资产管理|证券投资；资产管理；私募基金；跨境金融服务
cn_600027|华夏幸福|Huaxia Fortune|K70|房地产业|房地产开发|上海证券交易所|华夏幸福产业新城集团|2003-07-22|河北省|廊坊市|王华夏|廊坊市广阳区华夏路88号|www.huaxiafortune.com|service@huaxia.com|0316-60880027|产业新城开发及运营|产业新城投资开发；园区运营管理；基础设施建设
cn_600028|荣盛发展|Rongsheng Dev|K70|房地产业|房地产开发|上海证券交易所|荣盛房地产发展股份有限公司|2004-12-02|河北省|石家庄市|李荣盛|石家庄市裕华区荣盛街9号|www.rongshengdev.com|service@rongsheng.com|0311-85580028|住宅开发及商业运营|房地产开发经营；商业运营管理；物业管理
cn_600029|金地集团|Jindi Group|K70|房地产业|房地产开发|上海证券交易所|金地（集团）股份有限公司|2000-06-30|广东省|深圳市|凌金地|深圳市福田区金地一路1号|www.jindigroup.com|service@jindi.com|0755-82980029|房地产开发及物业服务|房地产开发；物业管理；建筑装饰；投资兴办实业
cn_600030|招商蛇口|CMSK|K70|房地产业|房地产开发|上海证券交易所|招商局蛇口工业区控股股份有限公司|2006-08-14|广东省|深圳市|孙招商|深圳市南山区蛇口太子路1号|www.cmsk.com|service@cmsk.com|0755-26880030|园区开发及社区运营|园区开发运营；住宅商业地产开发；邮轮母港建设
cn_600031|华侨城|OCT|R88|文化、体育和娱乐业|文化艺术业|上海证券交易所|华侨城文化旅游集团股份有限公司|2005-03-25|广东省|深圳市|段华侨|深圳市南山区华侨城创意文化园|www.oct.com|service@oct.com|0755-26680031|主题公园及文化旅游|主题公园运营；旅游项目开发；文化演艺；酒店管理
cn_600032|中粮地产|COFCO Property|K70|房地产业|房地产开发|上海证券交易所|中粮地产集团股份有限公司|2002-05-08|北京市|北京市|周中粮|北京市东城区中粮广场A座|www.cofcoproperty.com|service@cofco.com|010-65180032|商业地产及住宅开发|房地产开发经营；物业租赁；酒店管理
cn_600033|中国铝业|Chalco|C32|制造业|有色金属冶炼和压延加工业|上海证券交易所|中国铝业股份有限公司|2001-09-20|北京市|北京市|刘中铝|北京市海淀区西直门北大街62号|www.chalco.com|service@chalco.com|010-82280033|铝土矿开采及铝制品生产|铝土矿开采；氧化铝、电解铝生产销售；铝加工材制造
cn_600034|江西铜业|Jiangxi Copper|C32|制造业|有色金属冶炼和压延加工业|上海证券交易所|江西铜业股份有限公司|2002-01-25|江西省|贵溪市|郑江铜|贵溪市冶金大道15号|www.jxcc.com|service@jxcc.com|0701-37880034|铜矿开采及铜材加工|铜矿采选；铜冶炼；铜材加工；稀贵金属回收
cn_600035|山东黄金|Shandong Gold|B09|采矿业|贵金属矿采选业|上海证券交易所|山东黄金矿业股份有限公司|2003-08-08|山东省|济南市|李山东|济南市历城区黄金路188号|www.sd-gold.com|service@sd-gold.com|0531-88180035|黄金开采及冶炼|黄金勘探、开采、选冶；金条及黄金制品销售
cn_600036|中金黄金|Zhongjin Gold|B09|采矿业|贵金属矿采选业|上海证券交易所|中金黄金股份有限公司|2004-04-19|北京市|北京市|孙中金|北京市东城区柳荫公园南街1号|www.zjgold.com|service@zjgold.com|010-64280036|黄金采选冶及销售|黄金采选冶；黄金制品加工销售；矿产资源勘查
cn_600037|紫金矿业|Zijin Mining|B09|采矿业|有色金属矿采选业|上海证券交易所|紫金矿业集团股份有限公司|2003-12-22|福建省|龙岩市|陈紫金|龙岩市上杭县紫金路1号|www.zjky.com|service@zjky.com|0597-38880037|铜金矿开采及冶炼|铜、金、锌等有色金属开采冶炼；矿业投资
